case_id,cosine,finite,generated_noise,known_pixel_max_diff,l2_error,method,mse,noise_ratio,noise_source,psnr,runtime_sec,seed,source,ssim
A_ratio_08_04_06_seed_7,0.6261865069567377,True,True,0.0,146.14323588540424,degraded,0.3164125243712134,"[0.8, 0.4, 0.6]",,4.997463344105928,2.0200001017656177e-05,7,A.png,0.050896562923597455
A_ratio_08_04_06_seed_7,0.9966143013692011,True,True,0.0,15.413570548441799,telea_only,0.0035196764007672954,"[0.8, 0.4, 0.6]",,24.53497263743863,0.02372280000054161,7,A.png,0.8151523323247417
A_ratio_08_04_06_seed_7,0.995211585220554,True,True,0.0,18.3264458135232,local_mean_only,0.00497568320231114,"[0.8, 0.4, 0.6]",,23.031472786122485,0.0014473000010184478,7,A.png,0.751988345267315
A_ratio_08_04_06_seed_7,0.9983584102478043,True,True,0.0,10.73683695277954,linear_ridge_main,0.001707846929638107,"[0.8, 0.4, 0.6]",,27.675510567105626,0.2363331999986258,7,A.png,0.9007071212065441
A_ratio_08_04_06_seed_7,0.9975086545074777,True,True,0.0,13.225374364633593,quadratic_gaussian_main_modify,0.002591267067921591,"[0.8, 0.4, 0.6]",,25.864878243173774,0.08394879999832483,7,A.png,0.8531717746012514
A_ratio_08_04_06_seed_7,0.997031353381749,True,True,0.0,14.439020033595511,adaptive_rgb_no_ycrcb,0.00308867110415663,"[0.8, 0.4, 0.6]",,25.10228334901732,0.15616270000100485,7,A.png,0.792329158051805
A_ratio_08_04_06_seed_7,0.9983584102478043,True,True,0.0,10.73683695277954,fixed_window_ycrcb,0.001707846929638107,"[0.8, 0.4, 0.6]",,27.675510567105626,0.24984290000065812,7,A.png,0.9007071212065441
A_ratio_08_04_06_seed_7,0.9981070841528727,True,True,0.0,11.53136366667636,full_adaptive_ycrcb,0.0019699607113058326,"[0.8, 0.4, 0.6]",,27.055424352765932,0.2713447999994969,7,A.png,0.8642370727004879
A_ratio_08_04_06_seed_42,0.6279007568919214,True,True,0.0,145.88458749550153,degraded,0.3152935239812243,"[0.8, 0.4, 0.6]",,5.012849494173432,2.5299999833805487e-05,42,A.png,0.05300608303219856
A_ratio_08_04_06_seed_42,0.9966610821847479,True,True,0.0,15.309271842128876,telea_only,0.0034722045086844453,"[0.8, 0.4, 0.6]",,24.593947033176953,0.021508300000277814,42,A.png,0.8194968590245129
A_ratio_08_04_06_seed_42,0.9951818966029695,True,True,0.0,18.38508475200797,local_mean_only,0.005007575427237272,"[0.8, 0.4, 0.6]",,23.003725003696385,0.001423000001523178,42,A.png,0.7535516942403059
A_ratio_08_04_06_seed_42,0.9982871088102679,True,True,0.0,10.967637326957815,linear_ridge_main,0.0017820602746026423,"[0.8, 0.4, 0.6]",,27.490776109138295,0.23143889999846579,42,A.png,0.8998167264227103
